"구분별","분류별","제외별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"전체","전체","음성통화 제외","사례수","명","","","","","7553","7385","","","","","",
"전체","전체","음성통화 제외","1시간 미만","%","","","","","48.8","46.7","","","","","",
"전체","전체","음성통화 제외","1-2시간 미만","%","","","","","21.9","23","","","","","",
"전체","전체","음성통화 제외","2-3시간 미만","%","","","","","14.4","12.6","","","","","",
"전체","전체","음성통화 제외","3-4시간 미만","%","","","","","6.5","8.2","","","","","",
"전체","전체","음성통화 제외","4시간이상","%","","","","","8.5","9.5","","","","","",
"전체","전체","음성통화 제외","평균","분","","","","","78.5","82.5","","","","","",
"전체","응답자","음성통화 제외","사례수","명","","3701","4303","4569","5951","6149","6465","6470","5775","5615","6359",
"전체","응답자","음성통화 제외","30분 미만","%","","12.6","12.6","","","","","","","","",
"전체","응답자","음성통화 제외","1시간 미만","%","","","","31.9","35","36","34.6","35","31.2","28.1","25.3",
"전체","응답자","음성통화 제외","30분-1시간 미만","%","","20.4","23.3","","","","","","","","",
"전체","응답자","음성통화 제외","1-2시간 미만","%","","30.1","48.5","30.9","27.8","27.6","30","28.3","27.5","25","24.9",
"전체","응답자","음성통화 제외","2-3시간 미만","%","","17.1","15.5","18.2","18.2","15.1","17.2","16.9","17.3","18.2","18.5",
"전체","응답자","음성통화 제외","3-4시간 미만","%","","","","8.1","8.2","9.9","8.7","10.1","11.3","12.4","13.8",
"전체","응답자","음성통화 제외","3시간 이상","%","","19.8","","","","","","","","","",
"전체","응답자","음성통화 제외","4시간이상","%","","","","10.9","10.8","11.4","9.5","9.6","12.7","16.3","17.4",
"전체","응답자","음성통화 제외","평균","분","","106.1","91.8","102.4","99.6","99","92.8","96.3","108.8","115.1","122.9",
"전체","응답자","음성통화/문자 제외","사례수","명","1803","","","","","","","","","","",
"전체","응답자","음성통화/문자 제외","30분 미만","%","19.5","","","","","","","","","","",
"전체","응답자","음성통화/문자 제외","30분-1시간 미만","%","26","","","","","","","","","","",
"전체","응답자","음성통화/문자 제외","1-2시간 미만","%","27.1","","","","","","","","","","",
"전체","응답자","음성통화/문자 제외","2시간 이상","%","27.4","","","","","","","","","","",
"전체","응답자","음성통화/문자 제외","평균","분","86.1","","","","","","","","","","",
"남자","전체","음성통화 제외","사례수","명","","","","","3759","3672","","","","","",
"남자","전체","음성통화 제외","1시간 미만","%","","","","","46.1","44.8","","","","","",
"남자","전체","음성통화 제외","1-2시간 미만","%","","","","","24","24.4","","","","","",
"남자","전체","음성통화 제외","2-3시간 미만","%","","","","","15.1","13.4","","","","","",
"남자","전체","음성통화 제외","3-4시간 미만","%","","","","","6.9","7.8","","","","","",
"남자","전체","음성통화 제외","4시간이상","%","","","","","7.8","9.6","","","","","",
"남자","전체","음성통화 제외","평균","분","","","","","80.1","83.8","","","","","",
"남자","응답자","음성통화 제외","사례수","명","","1946","2218","2347","3078","3169","3300","3311","2962","2863","3022",
"남자","응답자","음성통화 제외","30분 미만","%","","12.5","12.5","","","","","","","","",
"남자","응답자","음성통화 제외","1시간 미만","%","","","","31.6","34.2","36.1","33.5","33.4","29.9","25.1","25.2",
"남자","응답자","음성통화 제외","30분-1시간 미만","%","","20.9","23","","","","","","","","",
"남자","응답자","음성통화 제외","1-2시간 미만","%","","31.4","49.8","33.7","29.3","28.2","30.7","29.2","28","26.6","24.4",
"남자","응답자","음성통화 제외","2-3시간 미만","%","","17.9","14.7","17.4","18.5","15.5","18.1","18.4","18.3","18","19.5",
"남자","응답자","음성통화 제외","3-4시간 미만","%","","","","7.7","8.5","9","8.8","10.3","11.2","12","14.1",
"남자","응답자","음성통화 제외","3시간 이상","%","","17.2","","","","","","","","","",
"남자","응답자","음성통화 제외","4시간이상","%","","","","9.6","9.5","11.1","8.8","8.5","12.7","18.3","16.8",
"남자","응답자","음성통화 제외","평균","분","","97.3","91","97.8","97.9","97.1","92.5","94.8","109.6","120.3","122.2",
"남자","응답자","음성통화/문자 제외","사례수","명","1052","","","","","","","","","","",
"남자","응답자","음성통화/문자 제외","30분 미만","%","18.9","","","","","","","","","","",
"남자","응답자","음성통화/문자 제외","30분-1시간 미만","%","29.3","","","","","","","","","","",
"남자","응답자","음성통화/문자 제외","1-2시간 미만","%","28.8","","","","","","","","","","",
"남자","응답자","음성통화/문자 제외","2시간 이상","%","23","","","","","","","","","","",
"남자","응답자","음성통화/문자 제외","평균","분","76.5","","","","","","","","","","",
"여자","전체","음성통화 제외","사례수","명","","","","","3794","3713","","","","","",
"여자","전체","음성통화 제외","1시간 미만","%","","","","","51.3","48.7","","","","","",
"여자","전체","음성통화 제외","1-2시간 미만","%","","","","","19.8","21.6","","","","","",
"여자","전체","음성통화 제외","2-3시간 미만","%","","","","","13.6","11.8","","","","","",
"여자","전체","음성통화 제외","3-4시간 미만","%","","","","","6","8.7","","","","","",
"여자","전체","음성통화 제외","4시간이상","%","","","","","9.2","9.3","","","","","",
"여자","전체","음성통화 제외","평균","분","","","","","76.9","81.2","","","","","",
"여자","응답자","음성통화 제외","사례수","명","","1755","2085","2221","2873","2980","3166","3159","2813","2752","3337",
"여자","응답자","음성통화 제외","30분 미만","%","","12.7","12.7","","","","","","","","",
"여자","응답자","음성통화 제외","1시간 미만","%","","","","32.2","35.7","36","35.7","36.4","32.7","31.3","25.4",
"여자","응답자","음성통화 제외","30분-1시간 미만","%","","19.8","23.7","","","","","","","","",
"여자","응답자","음성통화 제외","1-2시간 미만","%","","28.7","47.2","27.9","26.2","26.9","29.2","27.2","27","23.3","25.3",
"여자","응답자","음성통화 제외","2-3시간 미만","%","","16.1","16.5","19","18","14.7","16.2","15.3","16.3","18.4","17.7",
"여자","응답자","음성통화 제외","3-4시간 미만","%","","","","8.6","8","10.8","8.6","10.1","11.4","12.8","13.6",
"여자","응답자","음성통화 제외","3시간 이상","%","","22.8","","","","","","","","","",
"여자","응답자","음성통화 제외","4시간이상","%","","","","12.4","12.1","11.6","10.2","10.9","12.7","14.2","18",
"여자","응답자","음성통화 제외","평균","분","","115.9","92.7","107.2","101.5","101.2","93.1","97.9","107.9","109.6","123.5",
"여자","응답자","음성통화/문자 제외","사례수","명","751","","","","","","","","","","",
"여자","응답자","음성통화/문자 제외","30분 미만","%","20.4","","","","","","","","","","",
"여자","응답자","음성통화/문자 제외","30분-1시간 미만","%","21.4","","","","","","","","","","",
"여자","응답자","음성통화/문자 제외","1-2시간 미만","%","24.7","","","","","","","","","","",
"여자","응답자","음성통화/문자 제외","2시간 이상","%","33.5","","","","","","","","","","",
"여자","응답자","음성통화/문자 제외","평균","분","99.4","","","","","","","","","","",
"10대","전체","음성통화 제외","사례수","명","","","","","721","711","","","","","",
"10대","전체","음성통화 제외","1시간 미만","%","","","","","28.2","20.6","","","","","",
"10대","전체","음성통화 제외","1-2시간 미만","%","","","","","25.1","25.9","","","","","",
"10대","전체","음성통화 제외","2-3시간 미만","%","","","","","19.3","16.3","","","","","",
"10대","전체","음성통화 제외","3-4시간 미만","%","","","","","10","21.8","","","","","",
"10대","전체","음성통화 제외","4시간이상","%","","","","","17.3","15.4","","","","","",
"10대","전체","음성통화 제외","평균","분","","","","","124.4","132.5","","","","","",
"10대","응답자","음성통화 제외","사례수","명","","566","604","629","662","663","687","599","574","503","581",
"10대","응답자","음성통화 제외","30분 미만","%","","6.8","4.5","","","","","","","","",
"10대","응답자","음성통화 제외","1시간 미만","%","","","","18.4","21.8","14.9","13.9","13.1","9.8","6.5","6.6",
"10대","응답자","음성통화 제외","30분-1시간 미만","%","","18.5","16.3","","","","","","","","",
