name,author,publisher,date,production,hashtag
걷기의세계,셰인 오마라,구희성,2022년 06월 10일,"[당신의뇌를깨우고싶다면,지금일어나걸어라!]",[]
수박수영장,안녕달,창비,2015년 07월 27일,"[더위를이겨내는기발한수영장,특별한이야기!]","[여름, 가족, 이웃, 상상력]"
멋진신세계,올더스 헉슬리,안정효,2015년 06월 12일,[암울한미래를그린현대고전!],"[세계고전문학, 영국고전, 영국소설, SF소설, 과학소설, 디스토피아소설, 통제, 억압, 인간존엄, 비극]"
내가같이뛰어내려줄게,씨씨코,다산북스,2022년 03월 31일,[인생이버거운당신과함께울어주는씨씨코의따뜻한위로!],[]
임신출산육아대백과(2021~2022),삼성출판사 편집부,삼성출판사,2021년 07월 31일,"[초보부모를위한‘임신’,‘출산’,‘육아’의모든것!]","[임신출산가이드, 분만, 산후조리, 태교, 육아법, 초보부모, 예비엄마, 예비아빠]"
해커스토익스타트리딩(Reading)RC,David Cho,해커스어학연구소,2022년 02월 21일,[],"[영어학습, 영어공부]"
신녀성의레미장센,안상아(신녀성),토네이도,2022년 06월 22일,"[대한민국에서가장핫한자기관리컨설턴트신녀성이말하는인생의만족도를최상위레벨로바꾼여자들의비밀“당당하게욕망하고우아하게쟁취하라.당신의삶은더욱풍요롭고,건강하고,새로워질수있다.”]","[여성처세, 자기확신, 자유, 조언]"
가장현실적인재테크는창업이다,송진혁,상상력집단,2022년 05월 30일,[],"[창업전략, 무인점포, 가격비교, 블루오션, 마케팅, 마음의밸런스]"
잘살아라그게최고의복수다,권민창,마인드셋(Mindset),2022년 01월 21일,[],"[인간관계, 조언, 해결책]"
경매대마왕반드시부자되는투자의소신,심태승,국일증권경제연구소,2022년 05월 31일,[유튜버‘경매대마왕’의부동산경매실전노하우초보자ㆍ베테랑모두봐야하는경매필독서경매하는법이아닌경매로돈버는법!],"[실전투자법, 근저당권설정, 안목, 토지용도변경, 경매절차, 실전노하우, 우선순위지상권, NPL투자]"
가장예쁜생각을너에게주고싶다(15만부기념교보문고단독리커버),나태주,강라은,2017년 06월 07일,[“너와나는기적의별들이아닐수없다.그러니우리가얼마나사랑스런별들이겠는가”],"[한국현대시, 딸, 사랑, 삶, 조언]"
1984,조지 오웰,한기찬,2021년 12월 08일,[종말은이미시작안에들어있었다.20세기의중요한문학작품으로자리매김한『1984』],[]
"오늘밤,세계에서이사랑이사라진다해도",이치조 미사키,권영주,2021년 06월 28일,"[제26회전격소설대상‘미디어워크스문고상’수상작총4,607편의응모작품중최고로손꼽힌걸작,모든심사위원이눈물을쏟은압도적작품!]","[전격소설대상, 일본소설, 청춘소설, 로맨스소설, 선행성기억상실증, 조건부연애]"
스토리만이살길,리사 크론,홍한결,2022년 06월 17일,[세계적인스토리컨설턴트가알려주는콘텐츠전쟁필승법칙],"[스토리텔링, 마케터, 기획자, 에디터, 브랜딩, 크리에이터, 마케팅, 광고, 유튜브, 콘텐츠]"
143층나무집,앤디 그리피스,신수진,2022년 03월 30일,[드디어143층출간!우리아이웃음‘치트키’〈나무집〉시리즈],[]
절대실패하지않는부동산투자,리치판다,빌리버튼,2022년 06월 29일,[“최소의투자금으로절대실패하지부동산투자법”새정부이후변화될시장흐름속에서반드시수익내는전략을짚어본다자본금1억으로5년만에순자산40억달성“돈없고경험없어도지금바로부동산투자시작하라!”2022년하반기부동산전망및유망투자처9개절대실패하지않는부동산투자노하우소개!],"[재테크, 재개발, 갭투자, 절약, 아파트]"
여학교의별2,와야마 야마,현승희,2022년 05월 05일,"[전설의1만리트윗,SNS화제의그만화『여학교의별』두번째이야기충격적으로귀여운선생님과학생들의지루할틈없는유쾌한티키타카!“이학교,다니고싶다.”]","[선생님, 교사, 학생, 일상]"
나는까칠하게살기로했다,양창순,다산북스,2022년 05월 12일,[],[인간관계]
한권으로끝내는해커스토익700+(LC+RC+VOCA),해커스 어학연구소,해커스어학연구소,2022년 01월 03일,[최신기출유형100%반영20일만에토익LC+RC+VOCA한권으로끝!],[]
GiveandTake(기브앤테이크),애덤 그랜트,윤태준,2013년 06월 07일,[양보와배려는어떻게성과로이어지는가?],[인간관계]
어린이한국사퀴즈2,한날,한날,2022년 03월 15일,[한국사퀴즈로느끼는역사공감],[]
에그박사6,에그박사 (원작),홍종현,2022년 03월 10일,[],"[아동학습만화, 생물도감, 동식물]"
세븐,전인구,차이정원,2022년 05월 18일,[],"[경제유튜버, 간절함, 주식투자, 부동산투자, 선택, 관심, 배움]"
해커스보카(HackersVocabulary),David Cho,해커스어학연구소,2021년 12월 13일,[토플경향및시험에완벽대비한교재!],[]
지리의힘,팀 마샬,김미선,2016년 08월 10일,[세계는왜‘지리’를두고분쟁하는가?],"[세계지리, 국제정세, 지경학, 지정학, 지리적특성, 영유권, 영토, 분쟁, 신패권주의]"
영어회화의결정적단어들,서영조,사람in,2020년 03월 06일,[주제별회화필수단어와메모리부스터이미지로회화의절반을완성한다!],"[영어학습, 영어공부, 영어말하기, 스피킹, 영단어]"
두근두근편의점,김영진,책읽는곰,2022년 04월 08일,[어린이의일상에빛을입히는작가김영진신작울뚝불뚝했던마음이말랑말랑해지는편의점의마법],"[일상, 치유, 마법]"
지리의힘2,팀 마샬,김미선,2022년 04월 10일,"[7년만에나온〈지리의힘〉제2탄21세기에도계속되는지정학적갈등,세상은변했지만지리는변하지않았다]",[]
전지적독자시점5,싱숑 (원작),슬리피-C,2022년 06월 08일,[],"[판타지, 아포칼립스물, 성좌물, 주인공, 독자, 빙의물, 멸망, 이세계물, 현대물]"
우리는여전히삶을사랑하는가,에리히 프롬,장혜경,2022년 02월 11일,[《사랑의기술》을읽기전에읽어야할책삶을사랑하는능력을회복하기위한에리히프롬의깊은사유와예리한통찰],"[교양심리, 철학, 삶, 성찰, 사유, 회복]"
낭만강아지봉봉2,홍민정,김무연,2022년 06월 15일,[“내주인은어디있을까?”진짜주인을찾는‘떠돌이개봉봉’의모험!],"[자유, 모험, 용기, 우정, 성장]"
오십에읽는장자,김범준,유노북스,2022년 04월 28일,[이제치열함은내려놓아도좋다오십의근심과괴로움을비우는장자의28가지말],"[자유, 책임, 시시비비, 성찰, 성인군자, 비움, 지혜]"
초역니체의말,프리드리히 니체,박재현,2020년 03월 10일,[],[]
장송의프리렌7,Kanehito Yamada (원작),서현아,2022년 06월 25일,[],"[판타지만화, 모험, 영웅]"
아몬드,손원평,창비,2017년 03월 31일,[괴물인내가또다른괴물을만났다!],"[창비청소년문학상, 한국소설, 청소년소설, 성장소설, 감정, 표현, 우정, 사랑]"
비전공자를위한이해할수있는IT지식,최원영,티더블유아이지,2020년 07월 14일,[IT시대의필수교양서],"[IT기본문법, 프로그래밍언어, 운영체제, 네트워크, API, JSON, 데이터베이스, 이미지처리, 프레임워크, 라이브러리]"
부의인문학(20만부기념개정증보판),우석,오픈마인드,2022년 03월 21일,"[2년만에20만부를넘어선특급베스트셀러!더깊어진생각,더풍부해진경험으로완성한개정증보판!]","[부의법칙, 부자되는법, 주식투자법]"
놓지마과학!17:모카노왕국의보물과밀실미스터리,신태훈,홍훈기,2022년 05월 06일,[100만부를돌파한대한민국대표학습만화!CSI과학수사대를방불케하는증거찾기X최신과학정보X권위있는과학전문가감수!],"[과학학습만화, 과학이야기]"
빌게이츠넥스트팬데믹을대비하는법,빌 게이츠,이영래,2022년 06월 10일,"[빌게이츠가제시하는‘넥스트팬데믹’을대비하는액션플랜!‘코로나19’가남긴교훈부터디지털미래에대한전망까지,팬데믹을겪은모든사람이읽어야할책!]","[초기대응, 디지털기술, 변화, 혜안, 예방책]"
브라질에비가내리면스타벅스주식을사라,피터 나바로,이창식,2022년 04월 25일,"[‘숲(경제흐름)과나무(종목)’를함께보라!전쟁,전염병,기후,금리,환율,인플레이션…거시경제지표를이해하면변동성은기회다!]","[거시경제, 포트폴리오, 기술변화, GDP, 재정정책, 통화정책, 매크로투자, 리스크, 경기순환]"
늙는다는착각,엘렌 랭어,변용란,2022년 02월 04일,"[나이듦이아닌가능성에주목하는삶에관하여노화를젊음으로,질병을건강으로바꾸는가능성의심리학]","[교양심리, 노화, 젊음, 질병, 육체, 가능성, 의식, 집중]"
