,itemId,title,description,pubDate,priceStandard,priceSales,discountRate,saleStatus,mileage,mileageRate,coverSmallUrl,coverLargeUrl,categoryId,categoryName,publisher,rank,customerReviewRank,reviewCount,author,translator,isbn,link,mobileLink,additionalLink
0,206718072,Smart Phonics 1 : Student Book (New Edition),,20100901,14000,11700,16,판매중,650,6,https://bimage.interpark.com/partner/goods_image/8/0/7/2/206718072h.jpg,https://bimage.interpark.com/partner/goods_image/8/0/7/2/206718072s.jpg,200,외국도서,이퓨쳐,1,9.4,21,이퓨쳐 편집부,,9788956354507,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=206718072&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=206718072&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=206718072&biz_cd=
1,206718141,Smart Phonics 1 : Workbook (New Edition),,20101001,7000,5400,23,판매중,300,6,https://bimage.interpark.com/partner/goods_image/8/1/4/1/206718141h.jpg,https://bimage.interpark.com/partner/goods_image/8/1/4/1/206718141s.jpg,200,외국도서,이퓨쳐,2,9.7,17,"Jayne Lee,JAYNE LEE",,9788956354552,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=206718141&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=206718141&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=206718141&biz_cd=
2,1862901,Holes (1999 Newbery Medal Winner),,20000509,10700,5350,50,판매중,60,1,https://bimage.interpark.com/partner/goods_image/2/9/0/1/1862901h.jpg,https://bimage.interpark.com/partner/goods_image/2/9/0/1/1862901s.jpg,200,외국도서,Yearling Books,3,9.5,60,루이스 새커,,9780440414803,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=1862901&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=1862901&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=1862901&biz_cd=
3,206718115,Smart Phonics 2 : Student Book (New Edition),,20100901,14000,11700,16,판매중,650,6,https://bimage.interpark.com/partner/goods_image/8/1/1/5/206718115h.jpg,https://bimage.interpark.com/partner/goods_image/8/1/1/5/206718115s.jpg,200,외국도서,이퓨쳐,4,9.5,20,이퓨쳐 편집부,,9788956354514,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=206718115&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=206718115&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=206718115&biz_cd=
4,333860263,Peppa Pig My Busy Book 페파피그 비지북,,20200708,20800,10400,50,판매중,0,0,https://bimage.interpark.com/partner/goods_image/0/2/6/3/333860263h.jpg,https://bimage.interpark.com/partner/goods_image/0/2/6/3/333860263s.jpg,200,외국도서,Phidal Publishing,5,9.2,5,,,9782764351444,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=333860263&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=333860263&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=333860263&biz_cd=
5,206718119,Smart Phonics 3 : Student Book (New Edition),,20100901,14000,11700,16,판매중,650,6,https://bimage.interpark.com/partner/goods_image/8/1/1/9/206718119h.jpg,https://bimage.interpark.com/partner/goods_image/8/1/1/9/206718119s.jpg,200,외국도서,이퓨쳐,6,9.8,12,이퓨쳐 편집부,,9788956354521,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=206718119&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=206718119&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=206718119&biz_cd=
6,347879550,Pachinko (National Book Award Finalist) 애플TV+ 파친코 원작,"One of Buzzfeed's ""32 Most Exciting Books Coming In 2017""Included in The Millions' ""Most Anticipated: The Great 2017 Book Preview""One of Elle's ""25 Most Anticipated Books by Women for 2017""BBC: ""Ten Books to Read in 2017""One of BookRiot's ""Most Anticipated Books of 2017""One of Nylon's ""50 Books We Can't Wait To Read In 2017""One of Entertainment Weekly's Best New BooksOne of BookBub's...",20171114,19200,12290,36,판매중,370,3,https://bimage.interpark.com/partner/goods_image/9/5/5/0/347879550h.jpg,https://bimage.interpark.com/partner/goods_image/9/5/5/0/347879550s.jpg,200,외국도서,Grand Central Publishing,7,0.0,0,이민진,,9781455563920,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=347879550&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=347879550&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=347879550&biz_cd=
7,354556273,Subject Link 6 (Student Book + Workbook + QR),,20131101,15000,13500,10,판매중,750,6,https://bimage.interpark.com/partner/goods_image/6/2/7/3/354556273h.jpg,https://bimage.interpark.com/partner/goods_image/6/2/7/3/354556273s.jpg,200,외국도서,Build&Grow,8,0.0,0,"James Chong,Patrick Ferraro",,9791125332008,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=354556273&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=354556273&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=354556273&biz_cd=
8,1021071,Tuesdays with Morrie,,20060101,10700,5800,46,판매중,60,1,https://bimage.interpark.com/partner/goods_image/1/0/7/1/1021071h.jpg,https://bimage.interpark.com/partner/goods_image/1/0/7/1/1021071s.jpg,200,외국도서,Anchor Books,9,9.5,21,미치 앨봄,,9780385496490,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=1021071&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=1021071&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=1021071&biz_cd=
9,210564522,브릭스 리딩 Bricks Reading 50 1,,20160601,15000,13500,10,판매중,750,6,https://bimage.interpark.com/partner/goods_image/4/5/2/2/210564522h.jpg,https://bimage.interpark.com/partner/goods_image/4/5/2/2/210564522s.jpg,200,외국도서,사회평론,10,9.7,11,Bricks 편집부,,9788964358207,http://book.interpark.com/blog/integration/product/itemDetail.rdo?prdNo=210564522&refererType=8305,http://m.book.interpark.com/view.html?PRD_NO=210564522&SHOP_NO=0000400000,http://book.interpark.com/gate/ippgw.jsp?goods_no=210564522&biz_cd=
