,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL
강남(11230),1,1,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,277,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
,2,2,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,263,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
,3,3,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,1,833.6,문학 > 일본문학 > 소설,262,https://image.aladin.co.kr/product/19610/47/cover/k282635522_1.jpg
,4,4,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,2,833.6,문학 > 일본문학 > 소설,254,https://image.aladin.co.kr/product/19612/74/cover/k772635522_1.jpg
,5,5,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,3,833.6,문학 > 일본문학 > 소설,248,https://image.aladin.co.kr/product/21439/64/cover/k142636199_1.jpg
강동(11250),1,1,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,411,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
,2,2,완전한 행복 :정유정 장편소설,지은이: 정유정,은행나무,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,404,https://image.aladin.co.kr/product/27225/29/cover/k432732398_2.jpg
,3,3,미드나잇 라이브러리,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,9.79E+12,3840,,843.6,문학 > 영미문학 > 소설,386,https://image.aladin.co.kr/product/26987/37/cover/k962730610_1.jpg
,4,4,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,350,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
,5,5,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,2,813.7,문학 > 한국문학 > 소설,314,https://image.aladin.co.kr/product/27587/47/cover/k962733015_1.jpg
강북(11090),1,1,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,128,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
,2,2,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,106,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
,3,3,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,2,813.7,문학 > 한국문학 > 소설,105,https://image.aladin.co.kr/product/27587/47/cover/k962733015_1.jpg
,4,4,완전한 행복 :정유정 장편소설,지은이: 정유정,은행나무,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,104,https://image.aladin.co.kr/product/27225/29/cover/k432732398_2.jpg
,5,5,미드나잇 라이브러리,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,9.79E+12,3840,,843.6,문학 > 영미문학 > 소설,100,https://image.aladin.co.kr/product/26987/37/cover/k962730610_1.jpg
강서(11160),1,1,(그리며 배우는) 동물의 세계 :스텐실북,로렌스 클레이 메를 그림,,2017,9.79E+12,,,490,자연과학 > 동물학 > 동물학,181,
,2,2,미드나잇 라이브러리,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,9.79E+12,3840,,843.6,문학 > 영미문학 > 소설,176,https://image.aladin.co.kr/product/26987/37/cover/k962730610_1.jpg
,3,3,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,174,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
,4,4,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,153,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
,5,5,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설,지은이: 김초엽,허블,2019,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,146,https://image.aladin.co.kr/product/19359/16/cover/s972635417_1.jpg
관악(11210),1,1,아몬드 :손원평 장편소설,지은이: 손원평,창비,2017,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,118,http://image.aladin.co.kr/product/16839/4/cover/k492534773_1.jpg
,2,1,완전한 행복 :정유정 장편소설,지은이: 정유정,은행나무,2021,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,118,https://image.aladin.co.kr/product/27225/29/cover/k432732398_2.jpg
,3,3,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,9.79E+12,3810,,813.7,문학 > 한국문학 > 소설,105,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
,4,4,(추리 천재) 엉덩이 탐정,트롤 글·그림 ;김정화 옮김,미래엔,,9.79E+12,74830,10,833.6,문학 > 일본문학 > 소설,102,https://image.aladin.co.kr/product/25801/42/cover/k252736232_1.jpg
,5,5,(이상한 과자 가게) 전천당,히로시마 레이코 글 ;김정화 옮김,길벗스쿨,2019,9.79E+12,74830,11,833.6,문학 > 일본문학 > 소설,98,https://image.aladin.co.kr/product/27494/71/cover/k822733993_1.jpg
광진(11050),1,1,요괴소년호야 1,후지타 카즈히로,서울문화사,2000,9.78E+12,,,,,281,https://bookthumb-phinf.pstatic.net/cover/015/435/01543555.jpg?type=m1&udate=20130704
,2,2,연이와 버들 도령,백희나,책읽는곰,2022,9.79E+12,77810,,813.7,문학 > 한국문학 > 소설,170,https://image.aladin.co.kr/product/5006/34/cover150/1185564233_1.jpg
,3,3,미드나잇 라이브러리,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,9.79E+12,3840,,843.6,문학 > 영미문학 > 소설,159,https://image.aladin.co.kr/product/26987/37/cover/k962730610_1.jpg
,4,4,키드 스파이,맥 바넷 글 ;이재원 옮김,시공사,2020,9.79E+12,73840,,843,문학 > 영미문학 > 소설,128,https://image.aladin.co.kr/product/19362/97/cover150/89527849790_1.jpg
